condition,seed,target,round_pair,round_to,jaccard
baseline,101,S1,1-2,2,0.2
baseline,101,S1,2-3,3,0.2
baseline,101,S1,3-4,4,1.0
baseline,101,S1,4-5,5,1.0
baseline,101,S1,5-6,6,1.0
baseline,101,S1,6-7,7,1.0
baseline,101,S1,7-8,8,1.0
baseline,101,S2,1-2,2,1.0
baseline,101,S2,2-3,3,1.0
baseline,101,S2,3-4,4,1.0
baseline,101,S2,4-5,5,1.0
baseline,101,S2,5-6,6,1.0
baseline,101,S2,6-7,7,1.0
baseline,101,S2,7-8,8,1.0
baseline,101,S3,1-2,2,0.25
baseline,101,S3,2-3,3,0.25
baseline,101,S3,3-4,4,1.0
baseline,101,S3,4-5,5,1.0
baseline,101,S3,5-6,6,1.0
baseline,101,S3,6-7,7,1.0
baseline,101,S3,7-8,8,1.0
baseline,101,S4,1-2,2,0.6
baseline,101,S4,2-3,3,0.6
baseline,101,S4,3-4,4,1.0
baseline,101,S4,4-5,5,1.0
baseline,101,S4,5-6,6,1.0
baseline,101,S4,6-7,7,1.0
baseline,101,S4,7-8,8,1.0
baseline,101,S5,1-2,2,0.4
baseline,101,S5,2-3,3,1.0
baseline,101,S5,3-4,4,1.0
baseline,101,S5,4-5,5,1.0
baseline,101,S5,5-6,6,1.0
baseline,101,S5,6-7,7,1.0
baseline,101,S5,7-8,8,1.0
baseline,101,S6,1-2,2,0.14285714285714285
baseline,101,S6,2-3,3,1.0
baseline,101,S6,3-4,4,1.0
baseline,101,S6,4-5,5,1.0
baseline,101,S6,5-6,6,1.0
baseline,101,S6,6-7,7,0.5
baseline,101,S6,7-8,8,1.0
baseline,101,S7,1-2,2,0.42857142857142855
baseline,101,S7,2-3,3,0.375
baseline,101,S7,3-4,4,1.0
baseline,101,S7,4-5,5,1.0
baseline,101,S7,5-6,6,1.0
baseline,101,S7,6-7,7,1.0
baseline,101,S7,7-8,8,1.0
baseline,101,S8,1-2,2,0.5
baseline,101,S8,2-3,3,0.5
baseline,101,S8,3-4,4,1.0
baseline,101,S8,4-5,5,1.0
baseline,101,S8,5-6,6,1.0
baseline,101,S8,6-7,7,1.0
baseline,101,S8,7-8,8,1.0
baseline,102,S1,1-2,2,1.0
baseline,102,S1,2-3,3,1.0
baseline,102,S1,3-4,4,1.0
baseline,102,S1,4-5,5,1.0
baseline,102,S1,5-6,6,1.0
baseline,102,S1,6-7,7,0.5
baseline,102,S1,7-8,8,1.0
baseline,102,S2,1-2,2,1.0
baseline,102,S2,2-3,3,1.0
baseline,102,S2,3-4,4,1.0
baseline,102,S2,4-5,5,1.0
baseline,102,S2,5-6,6,1.0
baseline,102,S2,6-7,7,0.45454545454545453
baseline,102,S2,7-8,8,1.0
baseline,102,S3,1-2,2,1.0
baseline,102,S3,2-3,3,1.0
baseline,102,S3,3-4,4,1.0
baseline,102,S3,4-5,5,1.0
baseline,102,S3,5-6,6,1.0
baseline,102,S3,6-7,7,0.8
baseline,102,S3,7-8,8,1.0
baseline,102,S4,1-2,2,1.0
baseline,102,S4,2-3,3,0.6666666666666666
baseline,102,S4,3-4,4,1.0
baseline,102,S4,4-5,5,1.0
baseline,102,S4,5-6,6,1.0
baseline,102,S4,6-7,7,0.4
baseline,102,S4,7-8,8,1.0
baseline,102,S5,1-2,2,0.6666666666666666
baseline,102,S5,2-3,3,0.4444444444444444
baseline,102,S5,3-4,4,1.0
baseline,102,S5,4-5,5,1.0
baseline,102,S5,5-6,6,1.0
baseline,102,S5,6-7,7,0.75
baseline,102,S5,7-8,8,1.0
baseline,102,S6,1-2,2,1.0
baseline,102,S6,2-3,3,1.0
baseline,102,S6,3-4,4,1.0
baseline,102,S6,4-5,5,1.0
baseline,102,S6,5-6,6,1.0
baseline,102,S6,6-7,7,0.07692307692307693
baseline,102,S6,7-8,8,1.0
baseline,102,S7,1-2,2,1.0
baseline,102,S7,2-3,3,1.0
baseline,102,S7,3-4,4,1.0
baseline,102,S7,4-5,5,1.0
baseline,102,S7,5-6,6,1.0
baseline,102,S7,6-7,7,0.3333333333333333
baseline,102,S7,7-8,8,1.0
baseline,102,S8,1-2,2,1.0
baseline,102,S8,2-3,3,1.0
baseline,102,S8,3-4,4,1.0
baseline,102,S8,4-5,5,1.0
baseline,102,S8,5-6,6,1.0
baseline,102,S8,6-7,7,0.5
baseline,102,S8,7-8,8,1.0
baseline,103,S1,1-2,2,0.2857142857142857
baseline,103,S1,2-3,3,1.0
baseline,103,S1,3-4,4,1.0
